net,length_um
instance_0.mem\[0\]\[17\],13.82
net629,13.82
instance_1.mem\[0\]\[39\],13.805
instance_0.mem\[1\]\[43\],13.8
_1150_,13.76
instance_0.mem\[2\]\[10\],13.76
instance_1.mem\[1\]\[65\],13.76
instance_1.mem\[3\]\[23\],13.76
instance_0.mem\[2\]\[64\],13.725
_1124_,13.72
_1862_,13.72
instance_0.mem\[3\]\[14\],13.72
instance_1.rdata\[18\],13.72
instance_0.mem\[1\]\[17\],13.68
instance_1.mem\[0\]\[18\],13.68
instance_0.mem\[1\]\[70\],13.66
net698,13.66
instance_0.mem\[2\]\[13\],13.64
instance_1.mem\[1\]\[38\],13.62
instance_1.mem\[2\]\[1\],13.61
instance_1.mem\[3\]\[46\],13.6
instance_1.rdata\[44\],13.6
_1870_,13.58
instance_1.mem\[3\]\[41\],13.58
instance_1.rdata\[63\],13.58
instance_1.mem\[2\]\[18\],13.57
instance_1.mem\[3\]\[0\],13.56
rdata[54],13.55
_1254_,13.54
_1458_,13.54
instance_0.rdata\[22\],13.54
instance_0.mem\[0\]\[56\],13.52
_0385_,13.515
_1549_,13.5
